Level,Name,Rating,Tags,Url
The Surveillance Room,,+11,"['co-authored', 'horror', 'mystery', 'room', 'sd-class-1']",http://backrooms-wiki.wikidot.com/The Surveillance Room
Level 5,Terror Hotel,+193,"['_cc', '_licensebox', '_metatag', 'entity-18', 'homelike', 'horror', 'level', 'nostalgia', 'rewritten', 'sd-class-2', 'terror-hotel-canon', 'wonder']",http://backrooms-wiki.wikidot.com/Level 5
Level 5.1,GRAND OPENING OF THE TERROR HOTEL CASINO,+127,"['_cc', 'comedy', 'entity-18', 'featured', 'format-screw', 'horror', 'level', 'mystery', 'sd-class-other', 'sub-level', 'terror-hotel-canon', 'tragedy']",http://backrooms-wiki.wikidot.com/Level 5.1
Level 5.2,Scenic Views,+23,"['level', 'sd-class-3', 'sub-level']",http://backrooms-wiki.wikidot.com/Level 5.2
Level 5.3,Promethei Bibliotheca,+20,"['_cc', '_licensebox', '_wp-titles', 'entity-18', 'homelike', 'level', 'mystery', 'sub-level', 'terror-hotel-canon']",http://backrooms-wiki.wikidot.com/Level 5.3
Level 6,Lights Out,+147,"['_cc', '_licensebox', '_metatag', 'interior', 'level', 'mystery', 'rewritten', 'sd-class-pending']",http://backrooms-wiki.wikidot.com/Level 6
Level 6.1,The Snackrooms,+107,"['_cc', 'action', 'level', 'mystery', 'nostalgia', 'rewritten', 'sd-class-1', 'sub-level']",http://backrooms-wiki.wikidot.com/Level 6.1
Level 6.2,The Neon Maze,+48,"['_cc', '_licensebox', 'horror', 'level', 'sd-class-?', 'sub-level', 'thriller']",http://backrooms-wiki.wikidot.com/Level 6.2
Level 6.3,Vantablack,+51,"['_cc', '_licensebox', 'decay-canon', 'format-screw', 'level', 'mystery', 'sd-class-pending', 'spookycon2021', 'sub-level', 'tragedy']",http://backrooms-wiki.wikidot.com/Level 6.3
Level 6.31,Pierce the Veil,+36,"['_licensebox', '_wp-titles', 'dead-end', 'decay-canon', 'featured', 'infinite', 'interior', 'sd-class-habitable', 'sub-level', 'tragedy']",http://backrooms-wiki.wikidot.com/Level 6.31
Level 7,Thalassophobia,+128,"['_cc', '_licensebox', 'aquatic', 'horror', 'level', 'sd-class-4']",http://backrooms-wiki.wikidot.com/Level 7
Level 7.7,The Forsaken Debris,+57,"['_ai-non-cc', 'aquatic', 'horror', 'level', 'sd-class-5', 'sub-level']",http://backrooms-wiki.wikidot.com/Level 7.7
Level 7.9,Surface Caves,+16,"['_cc', 'level', 'sd-class-1', 'sub-level', 'wonder']",http://backrooms-wiki.wikidot.com/Level 7.9
The Hadal Zone,,+35,"['_licensebox', 'classicon2023', 'horror', 'mystery', 'room', 'sd-class-deadzone']",http://backrooms-wiki.wikidot.com/The Hadal Zone
Level 8,Cave System,+131,"['_cc', '_licensebox', 'cavern', 'horror', 'in-rewrite', 'level', 'rewritten', 'sd-class-5']",http://backrooms-wiki.wikidot.com/Level 8
Level 8.1,The Dead Caverns,+44,"['_cc', '_licensebox', 'level', 'sd-class-4', 'sub-level']",http://backrooms-wiki.wikidot.com/Level 8.1
the-sanctum,,+38,"['eyes-of-argos', 'featured', 'sd-class-other', 'sub-level', 'the-red-knight']",http://backrooms-wiki.wikidot.com/the-sanctum
Level 9,The Suburbs,+170,"['_cc', '_licensebox', 'featured', 'horror', 'level', 'level-9', 'nostalgia', 'rewritten', 'sd-class-5', 'urban']",http://backrooms-wiki.wikidot.com/Level 9
Level 9.1,Can we pretend that a meteor destroyed the Crimson Forest?,+80,"['_cc', '_licensebox', 'comedy', 'level', 'level-9', 'sd-class-pending', 'sub-level', 'tragedy']",http://backrooms-wiki.wikidot.com/Level 9.1
Level 9.2,Black Market,+36,"['_cc', '_licensebox', 'level', 'level-9', 'sd-class-2', 'sub-level']",http://backrooms-wiki.wikidot.com/Level 9.2
Level 9.3,The Overcast Manifold,+38,"['_licensebox', 'featured', 'level', 'level-9', 'sd-class-?', 'sub-level', 'thriller']",http://backrooms-wiki.wikidot.com/Level 9.3
Level 9.5,Rochester Blues,+28,"['_licensebox', 'level', 'level-9', 'sd-class-pending', 'sub-level']",http://backrooms-wiki.wikidot.com/Level 9.5
Level 10,The Bumper Crop,+73,"['_cc', '_licensebox', 'co-authored', 'field', 'level', 'nostalgia', 'sd-class-1', 'wonder']",http://backrooms-wiki.wikidot.com/Level 10
Level 10.1,Corpse Lake,+87,"['_non-cc', 'bittersweet', 'contest-winner', 'featured', 'goicon2021', 'horror', 'level', 'level-11', 'masked-maidens', 'mystery', 'overseer-andrew', 'sd-class-5', 'sd-class-other', 'sub-level', 'tragedy', 'unmasked-canon', 'wonder']",http://backrooms-wiki.wikidot.com/Level 10.1
Level 10.2,Hay Bale Heaven,+18,"['_licensebox', 'level', 'sub-level']",http://backrooms-wiki.wikidot.com/Level 10.2
Level 11,The Endless City,+236,"['_cc', '_licensebox', 'level', 'level-11', 'nostalgia', 'rewritten', 'sd-class-1', 'urban', 'wonder']",http://backrooms-wiki.wikidot.com/Level 11
level-11-1,Private Enterprise,+33,"['_cc', '_licensebox', '_wp-titles', 'b.n.t.g.', 'featured', 'level', 'sub-level', 'the-reverence']",http://backrooms-wiki.wikidot.com/level-11-1
level-11-2,The Refuge,+35,"['_licensebox', '_metatag', '_wp-titles', 'featured', 'level', 'mystery', 'sd-class-0', 'simulation-canon', 'sub-level', 'urban', 'wonder']",http://backrooms-wiki.wikidot.com/level-11-2
Level 11.3,The Red Light District,+89,"['_cc', '_licensebox', 'co-authored', 'featured', 'level', 'mystery', 'sd-class-5', 'sub-level']",http://backrooms-wiki.wikidot.com/Level 11.3
AFTER HOURS,,+37,"['blackout-canon', 'dead-end', 'featured', 'level-11', 'room', 'sd-class-deadzone', 'tragedy', 'urban', 'wonder']",http://backrooms-wiki.wikidot.com/AFTER HOURS
The Chamber,,+25,"['level-11', 'room', 'sd-class-?']",http://backrooms-wiki.wikidot.com/The Chamber
The Headquarters,,+37,"['_cc', '_licensebox', 'eyes-of-argos', 'level-11', 'mystery', 'room', 'sd-class-other']",http://backrooms-wiki.wikidot.com/The Headquarters
The Mirror Room,,+9,"['level-11', 'mystery', 'room', 'sd-class-1', 'wonder']",http://backrooms-wiki.wikidot.com/The Mirror Room
Radio Backrooms' Studio,,+33,"['_non-cc', 'level-11', 'room', 'sd-class-0', 'wholesome', 'wonder']",http://backrooms-wiki.wikidot.com/Radio Backrooms' Studio
Level 12,Matrix,+111,"['_cc', '_licensebox', 'interior', 'level', 'mystery', 'rewritten', 'sd-class-0']",http://backrooms-wiki.wikidot.com/Level 12
Level 12.1,The Light Switch,+70,"['level', 'mystery', 'sub-level']",http://backrooms-wiki.wikidot.com/Level 12.1
Level 13,The Infinite Apartments,+71,"['_cc', '_licensebox', 'homelike', 'level', 'nostalgia', 'rewritten', 'sd-class-2']",http://backrooms-wiki.wikidot.com/Level 13
Level 14,Paradise,+188,"['_cc', '_licensebox', 'forested', 'horror', 'level', 'sd-class-5']",http://backrooms-wiki.wikidot.com/Level 14
Level 15,Futuristic Halls,+80,"['_cc', '_licensebox', 'horror', 'industrial', 'level', 'sd-class-0']",http://backrooms-wiki.wikidot.com/Level 15
Level 15.1,Futility,+23,"['_wp-titles', 'horror', 'level', 'slcon2024', 'sub-level']",http://backrooms-wiki.wikidot.com/Level 15.1
Level 16,Altered Topography,+87,"['_cc', '_licensebox', 'exterior', 'level', 'mystery', 'nostalgia', 'sd-class-0', 'sd-class-?']",http://backrooms-wiki.wikidot.com/Level 16
Level 17,The Carrier,+45,"['_cc', '_licensebox', 'horror', 'level', 'nostalgia', 'sd-class-1', 'vehicular-level']",http://backrooms-wiki.wikidot.com/Level 17
Level 18,Memories,+95,"['_cc', '_licensebox', 'interior', 'level', 'mystery', 'nostalgia', 'rewritten', 'sd-class-1', 'wonder']",http://backrooms-wiki.wikidot.com/Level 18
Level 18.1,The Lucid Abyss,+55,"['_wp-titles', 'featured', 'horror', 'level', 'mystery', 'nostalgia', 'rewritten', 'sd-class-other', 'sub-level', 'tragedy']",http://backrooms-wiki.wikidot.com/Level 18.1
Level 19,Attic Floorboards,+84,"['_cc', '_licensebox', 'format-screw', 'interior', 'level', 'rewritten', 'simulation-canon']",http://backrooms-wiki.wikidot.com/Level 19
Level 20,Warehouse,+29,"['_cc', '_licensebox', 'commercial', 'level', 'nostalgia', 'sd-class-0']",http://backrooms-wiki.wikidot.com/Level 20
Level 21,Numbered Doors,+47,"['_cc', '_licensebox', 'interior', 'level', 'mystery', 'nostalgia', 'sd-class-4']",http://backrooms-wiki.wikidot.com/Level 21
Level 22,Ruins Left Behind,+103,"['_cc', '_licensebox', 'bittersweet', 'commercial', 'level', 'rewritten', 'sd-class-other', 'simulation-canon', 'wonder']",http://backrooms-wiki.wikidot.com/Level 22
Level 23,𝓣𝓱𝓮 𝓟𝓮𝓽𝓻𝓲𝓯𝓲𝓮𝓭 𝓖𝓪𝓻𝓭𝓮𝓷,+101,"['_cc', '_licensebox', 'cavern', 'co-authored', 'level', 'mystery', 'sd-class-4', 'wonder']",http://backrooms-wiki.wikidot.com/Level 23
Level 24,The Moon,+74,"['_cc', '_licensebox', 'b.n.t.g.', 'exterior', 'level', 'mystery', 'sd-class-1', 'wonder']",http://backrooms-wiki.wikidot.com/Level 24
Level 25,The Quarter Hub,+63,"['_cc', '_licensebox', 'commercial', 'level', 'rewritten', 'sd-class-0', 'simulation-canon']",http://backrooms-wiki.wikidot.com/Level 25
Level 26,The SS Fun =),+32,"['_licensebox', '_wp-titles', 'b.n.t.g.', 'co-authored', 'horror', 'level', 'm.e.g.', 'multiverse-canon', 'mystery', 'partygoers', 'rewritten', 'traveling', 'vehicular-level']",http://backrooms-wiki.wikidot.com/Level 26
Level 27,The Bunker Springs,+85,"['_cc', '_licensebox', 'bittersweet', 'cavern', 'level', 'mystery', 'sd-class-0']",http://backrooms-wiki.wikidot.com/Level 27
Level 28,Stormstone Keep,+146,"['_cc', '_licensebox', 'bittersweet', 'desert', 'finite', 'level', 'sd-class-1']",http://backrooms-wiki.wikidot.com/Level 28
Level 29,Hyperian,+69,"['_cc', '_licensebox', 'aquatic', 'forested', 'level', 'sd-class-4', 'wonder']",http://backrooms-wiki.wikidot.com/Level 29
Level 30,Shifted Beyond Reality,+85,"['_cc', '_licensebox', 'level', 'nostalgia', 'sd-class-other', 'wonder']",http://backrooms-wiki.wikidot.com/Level 30
Level 31,Roller Rink,+39,"['_cc', '_licensebox', 'commercial', 'finite', 'level', 'nostalgia', 'sd-class-1']",http://backrooms-wiki.wikidot.com/Level 31
Level 32,Forest of the Skeleton Queen,+55,"['_cc', '_licensebox', '_wp-titles', 'forested', 'level', 'sd-class-5', 'spookycon2021']",http://backrooms-wiki.wikidot.com/Level 32
Level 33,The Infinite Mall,+67,"['_cc', '_licensebox', 'commercial', 'level', 'mystery', 'nostalgia', 'sd-class-2']",http://backrooms-wiki.wikidot.com/Level 33
Level 34,Sewer System,-23,"['_cc', '_licensebox', 'aquatic', 'in-rewrite', 'industrial', 'level', 'mystery', 'sd-class-4']",http://backrooms-wiki.wikidot.com/Level 34
Level 35,An Empty Car Park,+53,"['_cc', '_licensebox', 'commercial', 'featured', 'level', 'nostalgia', 'sd-class-2']",http://backrooms-wiki.wikidot.com/Level 35
Level 36,Airport,+29,"['_cc', '_licensebox', 'commercial', 'in-rewrite', 'level', 'mystery', 'nostalgia', 'sd-class-1', 'wonder']",http://backrooms-wiki.wikidot.com/Level 36
Level 36.1,The Plane,+21,"['_cc', '_licensebox', 'level', 'nostalgia', 'sd-class-1', 'sub-level', 'wonder']",http://backrooms-wiki.wikidot.com/Level 36.1
Level 37,Sublimity,+212,"['_cc', '_licensebox', 'annual-feature', 'aquatic', 'featured', 'interior', 'level', 'sd-class-0']",http://backrooms-wiki.wikidot.com/Level 37
Level 37.1,The Sanguine Reservoir,+32,"['featured', 'level', 'mystery', 'sd-class-3', 'slcon2024', 'sub-level']",http://backrooms-wiki.wikidot.com/Level 37.1
Level 38,Fold Point,+57,"['_cc', '_licensebox', 'level', 'nostalgia', 'sd-class-5', 'wonder']",http://backrooms-wiki.wikidot.com/Level 38
Level 39,Enchanted Forest,+51,"['_cc', '_licensebox', 'forested', 'level', 'mystery', 'nostalgia', 'sd-class-0']",http://backrooms-wiki.wikidot.com/Level 39
Level 40,Roller Rockin' Pizza!,+49,"['_cc', '_licensebox', 'commercial', 'level', 'mystery', 'nostalgia', 'rewritten', 'sd-class-1', 'wonder']",http://backrooms-wiki.wikidot.com/Level 40
Level 41,The Black Lake,+40,"['_cc', '_licensebox', 'exterior', 'horror', 'level', 'mystery', 'sd-class-other']",http://backrooms-wiki.wikidot.com/Level 41
Level 42,The Horyzon,+92,"['_cc', '_licensebox', 'forested', 'format-screw', 'level', 'mystery', 'sd-class-other', 'wonder']",http://backrooms-wiki.wikidot.com/Level 42
Level 43,Water World,+56,"['_cc', '_licensebox', 'aquatic', 'commercial', 'featured', 'level', 'sd-class-3', 'wonder']",http://backrooms-wiki.wikidot.com/Level 43
The Atrium,,+32,"['_cc', 'room', 'sd-class-habitable', 'sd-class-other', 'wonder']",http://backrooms-wiki.wikidot.com/The Atrium
Level 44,Corroding Retail Outlet,+34,"['_cc', '_licensebox', 'commercial', 'horror', 'interior', 'level', 'sd-class-3']",http://backrooms-wiki.wikidot.com/Level 44
Level 45,Abyss Inc.,+40,"['_cc', '_licensebox', 'exterior', 'level', 'nostalgia', 'sd-class-1']",http://backrooms-wiki.wikidot.com/Level 45
Level 46,Arabian Desert,+67,"['_cc', '_licensebox', 'desert', 'horror', 'level', 'mystery', 'rewritten', 'sd-class-3', 'the-lost', 'wonder']",http://backrooms-wiki.wikidot.com/Level 46
level-46-1,The Saline Dunes and The Purgatorial Monastery,+34,"['_cc', '_licensebox', '_wp-titles', 'eyes-of-argos', 'featured', 'level', 'sd-class-other', 'sub-level']",http://backrooms-wiki.wikidot.com/level-46-1
The Profane Burial Site,,+22,"['_cc', '_licensebox', 'annual-feature', 'eyes-of-argos', 'featured', 'room', 'sd-class-other']",http://backrooms-wiki.wikidot.com/The Profane Burial Site
Level 47,The Adderwood,+36,"['_cc', '_licensebox', 'forested', 'level', 'nostalgia', 'sd-class-3', 'wonder']",http://backrooms-wiki.wikidot.com/Level 47
Level 48,The Sunset Beach,+74,"['_cc', '_licensebox', 'level', 'sd-class-habitable', 'sd-class-other', 'wholesome', 'wonder']",http://backrooms-wiki.wikidot.com/Level 48
level-48-1,Noctilucent Ground,+36,"['_cc', '_wp-titles', 'eyes-of-argos', 'level', 'sd-class-other', 'sub-level', 'wonder']",http://backrooms-wiki.wikidot.com/level-48-1
The Enclave,,+24,"['_cc', 'eyes-of-argos', 'room', 'sd-class-other']",http://backrooms-wiki.wikidot.com/The Enclave
Level 49,Trenches of Grime,+25,"['_cc', '_licensebox', 'horror', 'level', 'sd-class-2']",http://backrooms-wiki.wikidot.com/Level 49
Level 49.1,Remember the Fallen,+22,"['_licensebox', 'sd-class-other', 'sub-level']",http://backrooms-wiki.wikidot.com/Level 49.1
Level 49.2,Training Grounds M-1,+15,"['sub-level', 'the-iron-fist', 'the-pantheon']",http://backrooms-wiki.wikidot.com/Level 49.2
Level 50,The Moribund Highway,+34,"['_cc', '_licensebox', 'featured', 'horror', 'level', 'mystery', 'roadway', 'sd-class-3']",http://backrooms-wiki.wikidot.com/Level 50
Level 51,The Forgotten City,+39,"['_cc', '_licensebox', '_wp-titles', 'cavern', 'level', 'sd-class-4', 'the-lost', 'the-pantheon']",http://backrooms-wiki.wikidot.com/Level 51
Level 52,Eyes On You,+39,"['_cc', '_metatag', 'cavern', 'level', 'mystery', 'sd-class-?', 'subcon2020', 'thriller', 'wonder']",http://backrooms-wiki.wikidot.com/Level 52
Level 53,Alone,+99,"['_cc', '_licensebox', 'bittersweet', 'finite', 'format-screw', 'homelike', 'level', 'rewritten', 'sd-class-0', 'wholesome']",http://backrooms-wiki.wikidot.com/Level 53
Level 54,Stairwell Of Spirals,+23,"['_licensebox', 'horror', 'interior', 'level', 'nostalgia', 'rewritten', 'sd-class-2']",http://backrooms-wiki.wikidot.com/Level 54
Level 55,Land of Ice,+49,"['_cc', '_licensebox', 'commercial', 'horror', 'level', 'nostalgia', 'sd-class-2']",http://backrooms-wiki.wikidot.com/Level 55
Level 56,Frostbite,+38,"['_cc', '_licensebox', 'horror', 'level', 'sd-class-other']",http://backrooms-wiki.wikidot.com/Level 56
Level 57,Diurnal Art Gallery,+35,"['_licensebox', 'finite', 'format-screw', 'interior', 'level', 'sd-class-0', 'wonder']",http://backrooms-wiki.wikidot.com/Level 57
Level 58,Water Wonder,+36,"['_licensebox', '_metatag', 'b.n.t.g.', 'level', 'rewritten', 'sd-class-2']",http://backrooms-wiki.wikidot.com/Level 58
Level 59,The Backway,+44,"['_cc', '_licensebox', 'level', 'rewritten', 'sd-class-4', 'vehicular-level']",http://backrooms-wiki.wikidot.com/Level 59
Level 60,The Baywalk,+57,"['_cc', '_licensebox', 'exterior', 'featured', 'level', 'sd-class-5']",http://backrooms-wiki.wikidot.com/Level 60
Level 61,Floating Skyscrapers,+26,"['_cc', '_licensebox', 'exterior', 'format-screw', 'level', 'mystery', 'sd-class-5']",http://backrooms-wiki.wikidot.com/Level 61
Level 62,Jungle Backyard,+36,"['_licensebox', '_non-cc', 'exterior', 'gani', 'homelike', 'horror', 'kalag', 'level', 'sd-class-2']",http://backrooms-wiki.wikidot.com/Level 62
Level 63,Tranquility,+70,"['_cc', '_licensebox', 'forested', 'level', 'nostalgia', 'sd-class-0']",http://backrooms-wiki.wikidot.com/Level 63
Level 63.3,Sleeping Paradise,+28,"['level', 'sd-class-0', 'sub-level', 'wholesome', 'wonder']",http://backrooms-wiki.wikidot.com/Level 63.3
Level 64,The Lurking Darkness,+42,"['_cc', '_licensebox', 'homelike', 'horror', 'level', 'nostalgia', 'sd-class-3']",http://backrooms-wiki.wikidot.com/Level 64
Level 65,Bloodstained Garden,+47,"['_cc', '_licensebox', '_wp-titles', 'forested', 'horror', 'level', 'mystery', 'sd-class-4', 'spookycon2021']",http://backrooms-wiki.wikidot.com/Level 65
Level 66,Exhibit,+37,"['_cc', '_licensebox', '_wp-titles', 'aquatic', 'horror', 'level', 'mystery', 'sd-class-?']",http://backrooms-wiki.wikidot.com/Level 66
Level 67,Αρτοποιείο Desire,+51,"['_cc', '_licensebox', 'commercial', 'horror', 'level', 'masked-maidens', 'mystery', 'sd-class-2', 'unmasked-canon']",http://backrooms-wiki.wikidot.com/Level 67
Level 68,Theater The Eater,+38,"['_cc', '_licensebox', 'commercial', 'decepticon2020', 'horror', 'level', 'mystery', 'sd-class-3']",http://backrooms-wiki.wikidot.com/Level 68
Level 69,The Road Trip of Affliction,+107,"['_cc', '_licensebox', 'horror', 'level', 'roadway', 'sd-class-?']",http://backrooms-wiki.wikidot.com/Level 69
Level 70,Deposit,+8,"['_cc', '_licensebox', 'horror', 'industrial', 'level', 'nostalgia', 'sd-class-1']",http://backrooms-wiki.wikidot.com/Level 70
Level 71,Void Basement,+110,"['_cc', 'format-screw', 'horror', 'interior', 'level', 'mystery', 'sd-class-2', 'tragedy']",http://backrooms-wiki.wikidot.com/Level 71
Level 72,Call of the Crabs,+34,"['_cc', '_licensebox', 'level', 'sd-class-2', 'wholesome']",http://backrooms-wiki.wikidot.com/Level 72
Level 73,𝕿𝖍𝖊 𝕽𝖊𝖉𝖑𝖆𝖓𝖉𝖘,+92,"['_cc', 'bittersweet', 'dead-end', 'desert', 'horror', 'level', 'mystery', 'sd-class-5', 'wholesome', 'wonder']",http://backrooms-wiki.wikidot.com/Level 73
Level 74,Stage Fright,+40,"['_cc', '_licensebox', 'horror', 'level', 'sd-class-other']",http://backrooms-wiki.wikidot.com/Level 74
Level 75,Gallium Caves,+73,"['_cc', 'cavern', 'horror', 'level', 'sd-class-5', 'tragedy']",http://backrooms-wiki.wikidot.com/Level 75
Level 76,The Boundless Sewers,+21,"['_cc', 'horror', 'industrial', 'level', 'rewritten', 'sd-class-4']",http://backrooms-wiki.wikidot.com/Level 76
Level 77,The Underground Train,+11,"['_cc', 'level', 'mystery', 'nostalgia', 'rewritten', 'sd-class-3', 'vehicular-level']",http://backrooms-wiki.wikidot.com/Level 77
Level 78,Space Station,+53,"['_cc', 'interior', 'level', 'level-78', 'sd-class-2', 'space', 'wonder']",http://backrooms-wiki.wikidot.com/Level 78
Ad Astra,,+61,"['_cc', '_licensebox', 'level-78', 'mystery', 'room', 'sd-class-other', 'space', 'thriller']",http://backrooms-wiki.wikidot.com/Ad Astra
Level 79,Watch Tower,+24,"['_cc', 'level', 'nostalgia', 'sd-class-0']",http://backrooms-wiki.wikidot.com/Level 79
Level 80,Khögshin Highway,+32,"['_cc', '_licensebox', 'b.n.t.g.', 'co-authored', 'level', 'mystery', 'roadway', 'sd-class-0', 'the-lost', 'wonder']",http://backrooms-wiki.wikidot.com/Level 80
Level 81,Zoological Office,+52,"['_cc', 'level', 'mystery', 'sd-class-2', 'wonder']",http://backrooms-wiki.wikidot.com/Level 81
Afterhours Ending,,+17,"['_licensebox', 'nostalgia', 'poetry', 'room', 'slcon2024']",http://backrooms-wiki.wikidot.com/Afterhours Ending
Level 82,Self-Automated Trade,+31,"['_cc', '_licensebox', 'commercial', 'level', 'sd-class-1']",http://backrooms-wiki.wikidot.com/Level 82
Level 83,𝓣𝓱𝓮 𝓢𝓾𝓷𝓴𝓮𝓷 𝓢𝓾𝓫𝓶𝓪𝓻𝓲𝓷𝓮,+69,"['_cc', 'aquatic', 'level', 'sd-class-0', 'wonder']",http://backrooms-wiki.wikidot.com/Level 83
Level 84,The Shifting Hedge Maze,+27,"['_cc', 'exterior', 'level', 'sd-class-3']",http://backrooms-wiki.wikidot.com/Level 84
Level 85,Brilliant Evermore,+8,"['level', 'roots2024', 'sd-class-3']",http://backrooms-wiki.wikidot.com/Level 85
Level 86,Rivergate Tower,+18,"['_cc', 'commercial', 'level', 'nostalgia', 'rewritten', 'sd-class-0']",http://backrooms-wiki.wikidot.com/Level 86
Level 87,Hallways of Time,+34,"['_cc', 'interior', 'level', 'nostalgia', 'sd-class-1']",http://backrooms-wiki.wikidot.com/Level 87
Level 88,Corri-Doors,+12,"['_cc', '_licensebox', 'level', 'nostalgia', 'rewritten', 'sd-class-1']",http://backrooms-wiki.wikidot.com/Level 88
Level 89,A Taste of Home,+20,"['_licensebox', 'commercial', 'level', 'mystery', 'partygoers', 'sd-class-1']",http://backrooms-wiki.wikidot.com/Level 89
Level 90,Newly Renovated Home,+75,"['_cc', '_licensebox', 'backrooms-remodeling-co', 'homelike', 'level', 'mystery', 'sd-class-0', 'wonder']",http://backrooms-wiki.wikidot.com/Level 90
Level 91,Noir,+12,"['_cc', '_licensebox', 'horror', 'level', 'mystery', 'sd-class-1']",http://backrooms-wiki.wikidot.com/Level 91
Level 92,Crimson Glow,+26,"['_cc', '_licensebox', 'featured', 'horror', 'interior', 'level', 'nostalgia', 'sd-class-3']",http://backrooms-wiki.wikidot.com/Level 92
Level 93,The Summit,+29,"['_cc', '_licensebox', 'arctic', 'dead-end', 'exterior', 'horror', 'level', 'mystery', 'sd-class-4', 'tragedy', 'wonder']",http://backrooms-wiki.wikidot.com/Level 93
Level 94,Motion,+82,"['_non-cc', 'co-authored', 'horror', 'level', 'nostalgia', 'sd-class-3', 'wonder']",http://backrooms-wiki.wikidot.com/Level 94
Level 95,The Underneath,+51,"['_cc', '_licensebox', 'cavern', 'horror', 'interior', 'level', 'mystery', 'sd-class-other']",http://backrooms-wiki.wikidot.com/Level 95
